City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,gujo,35.7369,136.9585,68.23,98,100,2.19,JP,1719559298
115,pacasmayo,-7.4006,-79.5714,63.57,88,18,6.87,PE,1719559299
116,crane,31.3974,-102.3501,83.75,51,78,19.37,US,1719559300
117,atafu village,-8.5421,-172.5159,83.57,78,68,15.93,TK,1719559301
118,sultanah,24.4926,39.5857,100.85,8,0,5.75,SA,1719559302
119,daru,-9.0763,143.2092,79.77,89,34,17.07,PG,1719559303
120,sisimiut,66.9395,-53.6735,37.11,96,99,10.02,GL,1719559304
121,new norfolk,-42.7826,147.0587,51.93,72,100,5.88,AU,1719559306
122,ola,59.5833,151.2833,50.61,87,100,7.38,RU,1719559307
123,isangel,-19.55,169.2667,71.26,75,0,10.33,VU,1719559308
124,slave lake,55.2834,-114.769,51.78,71,0,4.61,CA,1719559309
125,tolanaro,-25.0319,46.9987,71.67,56,20,16.11,MG,1719559310
126,altoona,40.5187,-78.3947,58.21,82,34,1.28,US,1719559217
127,banda aceh,5.5577,95.3222,87.53,64,53,8.41,ID,1719559313
128,burang,30.25,81.1667,61.61,48,44,6.42,CN,1719559314
129,howard springs,-12.497,131.047,90.99,65,31,9.48,AU,1719559315
130,kingston,17.997,-76.7936,81.55,78,100,6.91,JM,1719559316
131,garissa,-0.4536,39.6401,83.95,44,90,24.87,KE,1719559317
132,litvinov,50.6042,13.6181,77.18,77,11,4.94,CZ,1719559318
133,punta del este,-34.9667,-54.95,55.51,84,100,21,UY,1719559043
134,windsor,42.3001,-83.0165,61.14,69,100,2.3,CA,1719559110
135,ust'-uda,54.1742,103.0304,86.25,23,6,8.99,RU,1719559322
136,ndioum,16.5129,-14.6471,76.89,47,7,9.01,SN,1719559323
137,hawaiian paradise park,19.5933,-154.9731,72.91,90,0,3.44,US,1719559324
138,ust-nera,64.5667,143.2,58.71,41,95,8.86,RU,1719559325
139,panacan,9.2463,118.4082,85.82,71,55,4.29,PH,1719559328
140,haiku-pauwela,20.9219,-156.3051,74.25,83,0,11.5,US,1719559329
141,hithadhoo,-0.6,73.0833,82.81,71,100,7.85,MV,1719559330
142,nefteyugansk,61.0998,72.6035,73.38,47,92,15.35,RU,1719559331
143,envira,-7.3,-70.2167,72.77,82,1,2.46,BR,1719559332
144,broken hill,-31.95,141.4333,60.66,28,18,13.87,AU,1719559333
145,benjamin constant,-4.3831,-70.0311,73.53,98,9,0.76,BR,1719559334
146,naha,26.2125,127.6811,89.87,74,20,13.8,JP,1719559335
147,puerto esperanza,-26.0152,-54.6731,59.04,93,100,2.66,AR,1719559336
148,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,62,0,15.66,RU,1719559338
149,dili,-8.5586,125.5736,82.2,73,88,4.05,TL,1719559339
150,whitehorse,60.7161,-135.0538,65.17,52,75,10.36,CA,1719559340
151,kavaratti,10.5669,72.642,81.41,87,86,15.03,IN,1719559342
152,bansi,27.1833,82.9333,101.7,37,99,7.29,IN,1719559343
153,nuuk,64.1835,-51.7216,39.52,93,100,9.89,GL,1719559344
154,bontang,0.1333,117.5,84.83,68,19,7.63,ID,1719559346
155,lihue,21.9789,-159.3672,74.79,85,40,14.97,US,1719559347
156,trinidad,-14.8333,-64.9,64.65,75,3,3.62,BO,1719559348
157,labrador city,52.9463,-66.9114,42.71,100,100,0,CA,1719559349
158,komsomolets,53.7453,62.0708,62.17,89,100,22.06,KZ,1719559350
159,awjilah,29.1081,21.2869,84.99,40,0,11.3,LY,1719559351
160,praia da vitoria,38.7333,-27.0667,68.76,83,75,8.23,PT,1719559352
161,sorong,-0.8833,131.25,77.27,91,100,4.56,ID,1719559354
162,yarmouth,41.7057,-70.2286,64.96,62,20,21.99,US,1719559355
163,central,30.5544,-91.0368,80.4,89,20,0,US,1719559356
164,billdal,57.5667,11.9333,68.34,86,100,13,SE,1719559357
165,colonia,50.9333,6.95,67.24,71,0,12.66,DE,1719559358
166,homer,59.6425,-151.5483,53.49,76,75,5.75,US,1719559359
167,kidal,18.4411,1.4078,93.7,26,62,10.04,ML,1719559360
168,kill devil hills,36.0307,-75.676,72.99,97,0,0,US,1719559361
169,nar'yan-mar,67.6713,53.087,49.5,75,100,10.74,RU,1719559363
170,stanley,54.868,-1.6985,56.71,79,75,21.85,GB,1719559364
171,arraial do cabo,-22.9661,-42.0278,72.72,86,6,10.92,BR,1719559365
172,altai,46.3722,96.2583,64.67,41,100,7.38,MN,1719559366
173,thunder bay,48.4001,-89.3168,53.58,82,100,3.44,CA,1719559367
174,mount pearl,47.5166,-52.7813,65.32,98,100,16.11,CA,1719559368
175,qarazhal,48.0078,70.7903,100.38,16,87,25.08,KZ,1719559369
176,ahmadpur east,29.1431,71.2598,107.1,29,48,10.18,PK,1719559370
177,port elizabeth,-33.918,25.5701,69.31,56,0,2.3,ZA,1719559372
178,surin,14.8818,103.4936,89.98,56,100,10.87,TH,1719559373
179,talnakh,69.4865,88.3972,74.61,54,100,17.65,RU,1719559374
180,kaiapoi,-43.3783,172.6401,50.83,88,100,9.22,NZ,1719559375
181,ailuk,10.2197,169.9797,82.89,82,75,15.32,MH,1719559376
182,bullhead city,35.1478,-114.5683,101.62,19,0,3.24,US,1719559377
183,birobidzhan,48.8,132.95,75.85,86,61,13.78,RU,1719559380
184,freeport,40.6576,-73.5832,67.05,60,0,8.05,US,1719559258
185,carolina beach,34.0352,-77.8936,76.06,95,76,6.24,US,1719559375
186,nagqu,31.5,92,57.02,49,100,6.46,CN,1719559383
187,castillos,-34.1667,-53.8333,50.29,83,100,9.44,UY,1719559384
188,phan rang-thap cham,11.5667,108.9833,89.13,61,46,10.18,VN,1719559385
189,tralee,52.2704,-9.7026,53.85,82,100,6.91,IE,1719559386
190,gulf shores,30.246,-87.7008,83.07,78,0,10.36,US,1719559388
191,wuzhou,23.4833,111.3167,88.07,74,100,5.28,CN,1719559389
192,nadi,-17.8,177.4167,77,78,40,5.75,FJ,1719559390
193,lethbridge,49.7,-112.8186,52.29,93,100,31.07,CA,1719559358
194,dabhoi,22.1833,73.4333,89.53,57,92,15.66,IN,1719559392
195,gisborne,-38.6533,178.0042,50.65,80,9,3.76,NZ,1719559393
196,nemuro,43.3236,145.575,59.5,87,20,13.62,JP,1719559394
197,east london,-33.0153,27.9116,63.54,82,0,4.61,ZA,1719559396
198,langepas,61.2544,75.2124,71.62,54,52,12.64,RU,1719559397
199,portland,45.5234,-122.6762,59.09,80,20,5.75,US,1719559025
200,lompoc,34.6391,-120.4579,55.29,85,100,6.91,US,1719559399
201,tierp,60.3427,17.5181,77.99,41,100,8.01,SE,1719559400
202,watertown,42.3709,-71.1828,61.14,60,0,3,US,1719559401
203,terenos,-20.4422,-54.8603,67.71,82,0,11.5,BR,1719559402
204,saldanha,-33.0117,17.9442,62.65,42,0,16.08,ZA,1719559403
205,nikolayevsk-on-amure,53.1406,140.73,70.02,82,86,4.85,RU,1719559404
206,hammerfest,70.6634,23.6821,54.05,66,0,12.66,NO,1719559406
207,sandpoint,48.2766,-116.5533,50.68,75,0,1.01,US,1719559407
208,luderitz,-26.6481,15.1594,70.41,36,0,17.34,NA,1719559410
209,port alfred,-33.5906,26.891,66.9,45,0,7.78,ZA,1719559411
210,sitka,57.0531,-135.33,57.09,82,100,10.36,US,1719559412
211,brandon,27.9378,-82.2859,82.31,93,75,4.61,US,1719559413
212,fort bragg,35.139,-79.006,75.2,84,100,3.44,US,1719559414
213,constantia,44.1833,28.65,84.88,58,0,10.85,RO,1719559271
214,sur,22.5667,59.5289,88.5,67,100,8.19,OM,1719559416
215,sittwe,20.15,92.9,84.06,81,100,14.29,MM,1719559417
216,qaqortoq,60.7167,-46.0333,42.73,83,100,1.88,GL,1719559418
217,alice springs,-23.7,133.8833,78.35,34,0,11.5,AU,1719559420
218,mount gambier,-37.8333,140.7667,50.88,91,100,17.2,AU,1719559421
219,callao,-12.0667,-77.15,61.72,94,100,5.75,PE,1719559414
220,meraux,29.933,-89.9498,81,86,0,5.75,US,1719559423
221,isafjordur,66.0755,-23.124,42.84,70,40,4.61,IS,1719559424
222,kittila,67.6647,24.8936,70.61,40,0,6.91,FI,1719559228
223,jiujiang,29.7333,115.9833,76.53,97,100,6.02,CN,1719559426
224,robertsport,6.7533,-11.3686,77.41,87,100,5.41,LR,1719559427
225,kourou,5.1552,-52.6478,77.05,90,12,3.91,GF,1719559429
226,port de pollenca,39.9075,3.0814,82.29,73,11,12.28,ES,1719559430
227,lorengau,-2.0226,147.2712,82.15,81,51,9.86,PG,1719559431
228,saint-philippe,-21.3585,55.7679,72.99,68,61,14.52,RE,1719559432
229,kolda,12.8833,-14.95,80.91,94,0,4.61,SN,1719559434
230,pemangkat,1.1667,108.9667,84.29,76,100,4.18,ID,1719559435
231,hamilton,39.1834,-84.5333,67.98,79,0,3,US,1719559436
232,ariquemes,-9.9133,-63.0408,68.9,62,0,1.19,BR,1719559437
233,keflavik,64.0049,-22.5624,48.11,81,75,19.57,IS,1719559438
234,williams lake,52.1415,-122.1445,53.17,96,40,4.61,CA,1719559439
235,gadzhiyevo,69.2551,33.3362,57.52,66,71,2.42,RU,1719559440
236,frederico westphalen,-27.3592,-53.3944,46.08,87,99,1.54,BR,1719559441
237,jayapura,-2.5333,140.7,87.19,85,35,4.68,ID,1719559444
238,paka,4.6374,103.4368,85.93,74,40,6.91,MY,1719559445
239,aldan,58.6031,125.3894,59.95,38,100,10.38,RU,1719559446
240,dolores,-36.3132,-57.6792,43.2,77,0,12.19,AR,1719559447
241,kilindoni,-7.9139,39.6668,78.73,74,92,19.98,TZ,1719559448
242,coahuayana de hidalgo,18.7,-103.6583,73.98,88,39,2.55,MX,1719559450
243,cururupu,-1.8283,-44.8683,72.05,100,63,1.54,BR,1719559451
244,mao,39.8885,4.2658,77.56,65,0,16.11,ES,1719559452
245,padangsidempuan,1.3667,99.2667,77.29,93,100,1.54,ID,1719559453
246,kabala,9.5833,-11.55,71.74,99,97,2.04,SL,1719559454
247,sandnessjoen,66.0217,12.6316,77.52,47,0,14.97,NO,1719559455
248,yorosso,12.3536,-4.7761,79.05,67,97,9.08,ML,1719559456
249,vikhorevka,56.1201,101.1636,89.19,23,98,5.3,RU,1719559457
250,belmonte,-15.8631,-38.8828,72.39,87,82,3.18,BR,1719559459
251,miri,4.4148,114.0089,89.74,70,40,8.05,MY,1719559460
252,aasiaat,68.7098,-52.8699,35.65,94,100,23.17,GL,1719559461
253,mvurwi,-17.0333,30.85,58.21,60,1,10.36,ZW,1719559462
254,mirriah,13.7073,9.1501,84.81,61,0,12.66,NE,1719559463
255,chester,40.1254,-75.8749,64.09,74,0,1.01,US,1719559464
256,tazacorte,28.629,-17.9293,68.97,84,75,10.36,ES,1719559465
257,lerwick,60.1545,-1.1494,55.4,95,100,14.2,GB,1719559466
258,college,64.8569,-147.8028,67.98,59,75,4.61,US,1719559132
259,monticello,45.3055,-93.7941,67.95,94,100,17.27,US,1719559470
260,huangshan,29.7114,118.3125,74.52,98,100,2.8,CN,1719559471
261,qurayyat,31.3318,37.3428,93.38,17,0,17.27,SA,1719559472
262,tadine,-21.55,167.8833,68.49,69,2,9.42,NC,1719559475
263,meadow lakes,61.6247,-149.6011,57.29,77,0,1.01,US,1719559477
264,merizo village,13.2658,144.6691,88.36,80,0,13.82,GU,1719559479
